File Name,Shape,No IMFs,Time,RMSE,PSNR,SSIM,Variation Of Information,Adapted Rand Error
DATA/00134.jpg,"(187, 270)",7,20.6028316,1.36e-14,55.69342461,0.999608273,[0.65873314 0.65867734],"(0.29291229804212027, 0.7071735859234872, 0.7070018388504038)"
DATA/00136.jpg,"(225, 300)",8,30.3671682,1.7e-14,55.39676079,0.999004497,[0.69206632 0.68543969],"(0.29975303720420143, 0.6953787846605503, 0.705183783347637)"
DATA/00137.jpg,"(480, 640)",9,129.9123079,1.67e-14,55.11894884,0.998532009,[0.71533823 0.71468988],"(0.31568554998575205, 0.683941429740528, 0.6846878773990125)"
DATA/00139.jpg,"(535, 800)",9,142.0393385,1.75e-14,54.78344838,0.998251645,[0.74936667 0.74730263],"(0.34429613567682116, 0.6550046497612891, 0.6564045732972413)"
DATA/00140.jpg,"(480, 640)",8,92.6306995,9.890000000000001e-15,55.2031392,0.998751262,[0.70889011 0.70930742],"(0.3182646031995039, 0.6817993652936627, 0.6816714403096411)"
DATA/00141.jpg,"(360, 480)",9,54.9540002,1.52e-14,55.00456919,0.999324802,[0.72442994 0.72513896],"(0.33366500041544533, 0.6664625313168867, 0.6662075166508582)"
DATA/00143.jpg,"(429, 665)",9,114.7464739,1.3999999999999999e-14,54.9132417,0.998764811,[0.73815368 0.73294592],"(0.33222724268860093, 0.6660539537525059, 0.6695004548319416)"
DATA/00144.jpg,"(266, 355)",8,51.6593179,1.91e-14,55.0761198,0.998412707,[0.71849781 0.63065636],"(0.26720151316118934, 0.6266475791224836, 0.8822465598513495)"
DATA/00146.jpg,"(166, 300)",7,37.86835960000001,1.86e-14,55.97821942,0.999180412,[0.63028597 0.6239518 ],"(0.29452050418838616, 0.6988726534279869, 0.7122124468823543)"
DATA/00147.jpg,"(346, 787)",9,117.7938159,1.75e-14,55.36948447,0.999073229,[0.68840723 0.68025852],"(0.2993677044406847, 0.695206839282079, 0.7061430993873595)"
DATA/00148.jpg,"(480, 640)",9,177.0853059,2.3e-14,54.85668207,0.99802585,[0.74279182 0.70811402],"(0.3111075093090572, 0.653099873005874, 0.728835752871786)"
DATA/00149.jpg,"(179, 282)",7,25.1150777,9.340000000000001e-15,56.82398126,0.999374241,[0.55442545 0.54840255],"(0.21633833473987996, 0.7787743531644991, 0.7886107068285256)"
